30712,42884;;Worst;Best;AVG;STD
30019,47355;;;;;
29959,73503;;;;;
29718,69215;;;;;
29230,69868;;;;;
30649,70025;;;;;
27930,41732;;;;;
28880,91482;;;;;
30612,27074;;;;;
31046,51525;;;;;
28567,71642;;;;;
31425,1412;;;;;
30046,70443;;;;;
29790,24952;;;;;
31817,5599;;;;;
28958,6189;;;;;
29944,12841;;;;;
27156,76987;;;;;
28371,41083;;;;;
30228,4313;;;;;
28142,92944;;;;;
28367,58327;;;;;
31730,0424;;;;;
29522,45203;;;;;
28749,59157;;;;;
30189,00899;;;;;
26959,55576;;;;;
29332,16949;;;;;
29453,90182;;;;;
32491,35663;;;;;
28140,86771;;;;;
32861,81091;;;;;
28280,90898;;;;;
28468,69476;;;;;
30064,86052;;;;;
32164,90499;;;;;
31903,85967;;;;;
28390,46825;;;;;
32348,50833;;;;;
31046,206;;;;;
29862,70899;;;;;
27393,30775;;;;;
30136,26059;;;;;
29396,65345;;;;;
31096,52995;;;;;
30313,6636;;;;;
31454,62538;;;;;
29713,8728;;;;;
29342,03603;;;;;
31685,38406;;;;;
29314,41921;;;;;
30240,84672;;;;;
29525,78051;;;;;
29694,80576;;;;;
28441,65355;;;;;
30103,51758;;;;;
28700,52528;;;;;
31002,23344;;;;;
29794,26333;;;;;
30042,65788;;;;;
31928,82827;;;;;
29901,07579;;;;;
28140,01571;;;;;
29286,41784;;;;;
28081,40747;;;;;
29221,5287;;;;;
29847,83874;;;;;
29112,43435;;;;;
28536,42583;;;;;
31792,28112;;;;;
30924,81205;;;;;
30576,55211;;;;;
28721,00651;;;;;
31956,37227;;;;;
30898,81797;;;;;
31083,16974;;;;;
27393,06364;;;;;
33041,98808;;;;;
28980,69762;;;;;
29972,06762;;;;;
31931,80457;;;;;
31373,95855;;;;;
30428,6681;;;;;
29416,44839;;;;;
28462,48395;;;;;
30063,3261;;;;;
28767,22938;;;;;
33688,54835;;;;;
32964,63638;;;;;
30227,66785;;;;;
30058,16913;;;;;
31294,6429;;;;;
32104,60501;;;;;
26624,06265;;;;;
29466,51097;;;;;
26511,16313;;;;;
30830,3632;;;;;
29452,94424;;;;;
30946,95235;;;;;
29302,8896;;;;;
30010,44893;;;;;
29251,93995;;;;;
27209,64973;;;;;
31575,46404;;;;;
30046,38003;;;;;
28960,68925;;;;;
30890,3334;;;;;
27430,48156;;;;;
29796,43784;;;;;
29097,44786;;;;;
27966,09338;;;;;
29363,75211;;;;;
26324,98332;;;;;
31824,16505;;;;;
27555,92246;;;;;
30276,88987;;;;;
33139,30996;;;;;
29088,9281;;;;;
28287,98827;;;;;
26622,60461;;;;;
31378,56409;;;;;
28841,47888;;;;;
32315,57756;;;;;
